Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2016-17,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.4,2.38
2016-17,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.32,0.96
2016-17,8,London Underground Network,Excess Journey Time - Total,4.99,4.37
2016-17,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.97,1.72
2016-17,9,Line Operations - Central Line,Excess Journey Time - Trains,3.93,2.87
2016-17,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.58,3.85
2016-17,9,Line Operations - District Line,Excess Journey Time - Trains,4.18,3.25
2016-17,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.63,1.35
2016-17,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.71,2.21
2016-17,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.34,1.58
2016-17,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,8.05,3.01
2016-17,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.61,1.03
2016-17,9,London Underground Network,Excess Journey Time - Total,6.56,4.61
2016-17,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.15,1.66
2016-17,10,Line Operations - Central Line,Excess Journey Time - Trains,2.6,2.85
2016-17,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.16,3.78
2016-17,10,Line Operations - District Line,Excess Journey Time - Trains,3.25,3.25
2016-17,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.5,1.26
2016-17,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.18,2.21
2016-17,10,Line Operations - Northern Line,Excess Journey Time - Trains,0.88,1.51
2016-17,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,5.57,3.26
2016-17,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.24,1.05
2016-17,10,London Underground Network,Excess Journey Time - Total,4.54,4.6
2016-17,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.67,1.75
2016-17,11,Line Operations - Central Line,Excess Journey Time - Trains,4.91,3.03
2016-17,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.02,3.8
2016-17,11,Line Operations - District Line,Excess Journey Time - Trains,3.43,3.27
2016-17,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.89,1.41
2016-17,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.57,2.33
2016-17,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.25,1.49
2016-17,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.21,3.35
2016-17,11,Line Operations - Victoria Line,Excess Journey Time - Trains,3.08,1.24
2016-17,11,London Underground Network,Excess Journey Time - Total,5.75,4.71
2016-17,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.93,1.77
2016-17,12,Line Operations - Central Line,Excess Journey Time - Trains,3.56,3.08
2016-17,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.57,3.78
2016-17,12,Line Operations - District Line,Excess Journey Time - Trains,4.19,3.34
2016-17,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.72,1.44
2016-17,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.87,2.46
2016-17,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.56,1.49
2016-17,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.31,3.35
2016-17,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.08,1.22
2016-17,12,London Underground Network,Excess Journey Time - Total,5.01,4.73
2016-17,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.05,1.79
2016-17,13,Line Operations - Central Line,Excess Journey Time - Trains,3.14,3.08
2016-17,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.79,3.71
2016-17,13,Line Operations - District Line,Excess Journey Time - Trains,3.14,3.33
2016-17,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.4
2016-17,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.87,2.49
2016-17,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.18,1.47
2016-17,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.39,3.27
2016-17,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.29,1.23
2016-17,13,London Underground Network,Excess Journey Time - Total,4.36,4.7
2017-18,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.07,2.07
2017-18,1,Line Operations - Central Line,Excess Journey Time - Trains,2.18,2.18
2017-18,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.74,2.74
2017-18,1,Line Operations - District Line,Excess Journey Time - Trains,3.06,3.06
2017-18,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.53,1.53
2017-18,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.56,2.56
2017-18,1,Line Operations - Northern Line,Excess Journey Time - Trains,0.94,0.94
2017-18,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.65,2.65
2017-18,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.97,0.97
2017-18,1,London Underground Network,Excess Journey Time - Total,4.04,4.04
2017-18,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.35,1.71
2017-18,2,Line Operations - Central Line,Excess Journey Time - Trains,2.55,2.37
2017-18,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.09,2.92
2017-18,2,Line Operations - District Line,Excess Journey Time - Trains,2.96,3.01
2017-18,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.87,1.2
2017-18,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.82,2.19
2017-18,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.1,1.02
2017-18,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.03,2.84
2017-18,2,Line Operations - Victoria Line,Excess Journey Time - Trains,0.88,0.93
2017-18,2,London Underground Network,Excess Journey Time - Total,4.06,4.05
2017-18,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.47,1.63
2017-18,3,Line Operations - Central Line,Excess Journey Time - Trains,2.7,2.48
2017-18,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.04,2.96
2017-18,3,Line Operations - District Line,Excess Journey Time - Trains,3.97,3.33
2017-18,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.21,1.2
2017-18,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.7,2.03
2017-18,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.18,1.07
2017-18,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.61,3.1
2017-18,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.27,1.04
2017-18,3,London Underground Network,Excess Journey Time - Total,4.48,4.19
2017-18,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.58
2017-18,4,Line Operations - Central Line,Excess Journey Time - Trains,2.8,2.56
2017-18,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4,3.22
2017-18,4,Line Operations - District Line,Excess Journey Time - Trains,3.73,3.43
2017-18,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.32,1.23
2017-18,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.83,1.98
2017-18,4,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.13
2017-18,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.84,3.28
2017-18,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,1.04
2017-18,4,London Underground Network,Excess Journey Time - Total,4.59,4.29
2017-18,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.09,1.68
2017-18,5,Line Operations - Central Line,Excess Journey Time - Trains,2.61,2.57
2017-18,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.94,3.16
2017-18,5,Line Operations - District Line,Excess Journey Time - Trains,3.11,3.37
2017-18,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.16,1.22
2017-18,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.03,1.79
2017-18,5,Line Operations - Northern Line,Excess Journey Time - Trains,1.24,1.15
2017-18,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.55,3.14
2017-18,5,Line Operations - Victoria Line,Excess Journey Time - Trains,1.2,1.07
2017-18,5,London Underground Network,Excess Journey Time - Total,4.11,4.26
2017-18,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.56,1.66
2017-18,6,Line Operations - Central Line,Excess Journey Time - Trains,2.48,2.55
2017-18,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.48,3.22
2017-18,6,Line Operations - District Line,Excess Journey Time - Trains,2.9,3.29
2017-18,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.17
2017-18,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.45,1.73
2017-18,6,Line Operations - Northern Line,Excess Journey Time - Trains,1.39,1.19
2017-18,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.04,3.12
2017-18,6,Line Operations - Victoria Line,Excess Journey Time - Trains,1.08,1.07
2017-18,6,London Underground Network,Excess Journey Time - Total,4.02,4.22
2017-18,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.34,1.76
2017-18,7,Line Operations - Central Line,Excess Journey Time - Trains,3.04,2.62
2017-18,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.64,3.28
2017-18,7,Line Operations - District Line,Excess Journey Time - Trains,3.83,3.36
2017-18,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.32,1.19
2017-18,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.17,1.94
2017-18,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.53,1.24
2017-18,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.77,3.36
2017-18,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.6,1.15
2017-18,7,London Underground Network,Excess Journey Time - Total,5.08,4.34
2017-18,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.27,1.82
2017-18,8,Line Operations - Central Line,Excess Journey Time - Trains,3.05,2.68
2017-18,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.05,3.37
2017-18,8,Line Operations - District Line,Excess Journey Time - Trains,3.97,3.44
2017-18,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.28,1.2
2017-18,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.36,2.12
2017-18,8,Line Operations - Northern Line,Excess Journey Time - Trains,2.02,1.34
2017-18,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.92,3.43
2017-18,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.38,1.18
2017-18,8,London Underground Network,Excess Journey Time - Total,5.07,4.43
2017-18,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.42,1.89
2017-18,9,Line Operations - Central Line,Excess Journey Time - Trains,4.4,2.87
2017-18,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.63,3.51
2017-18,9,Line Operations - District Line,Excess Journey Time - Trains,4.22,3.53
2017-18,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.68,1.26
2017-18,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.74,2.18
2017-18,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.31,1.44
2017-18,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.08,3.5
2017-18,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.79,1.24
2017-18,9,London Underground Network,Excess Journey Time - Total,5.69,4.57
2017-18,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.33,1.78
2017-18,10,Line Operations - Central Line,Excess Journey Time - Trains,2.86,2.84
2017-18,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.98,3.05
2017-18,10,Line Operations - District Line,Excess Journey Time - Trains,3.09,3.28
2017-18,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.23
