Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2018-19,8,Line Operations - Northern Line,Excess Journey Time - Trains,1.81,1.08
2018-19,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.95,3.12
2018-19,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.99,1.2
2018-19,8,London Underground Network,Excess Journey Time - Total,5.52,4.48
2018-19,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.56
2018-19,9,Line Operations - Central Line,Excess Journey Time - Trains,3.27,2.84
2018-19,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.91,3.26
2018-19,9,Line Operations - District Line,Excess Journey Time - Trains,4.1,3.3
2018-19,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.78,1.46
2018-19,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.53,2.18
2018-19,9,Line Operations - Northern Line,Excess Journey Time - Trains,1.69,1.15
2018-19,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,5.37,3.37
2018-19,9,Line Operations - Victoria Line,Excess Journey Time - Trains,1.7,1.26
2018-19,9,London Underground Network,Excess Journey Time - Total,5.66,4.61
2018-19,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1,1.51
2018-19,10,Line Operations - Central Line,Excess Journey Time - Trains,1.64,2.72
2018-19,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,1.87,3.12
2018-19,10,Line Operations - District Line,Excess Journey Time - Trains,2.12,3.18
2018-19,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.02,1.42
2018-19,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,0.56,2.02
2018-19,10,Line Operations - Northern Line,Excess Journey Time - Trains,0.53,1.09
2018-19,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.16,3.25
2018-19,10,Line Operations - Victoria Line,Excess Journey Time - Trains,0.51,1.18
2018-19,10,London Underground Network,Excess Journey Time - Total,3.03,4.45
2018-19,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.28,1.49
2018-19,11,Line Operations - Central Line,Excess Journey Time - Trains,2.84,2.73
2018-19,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.04,3.11
2018-19,11,Line Operations - District Line,Excess Journey Time - Trains,2.95,3.16
2018-19,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.15,1.39
2018-19,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.68,1.99
2018-19,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.57,1.13
2018-19,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.89,3.22
2018-19,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.18,1.18
2018-19,11,London Underground Network,Excess Journey Time - Total,4.37,4.44
2018-19,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.79,1.51
2018-19,12,Line Operations - Central Line,Excess Journey Time - Trains,2.7,2.73
2018-19,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.39,3.13
2018-19,12,Line Operations - District Line,Excess Journey Time - Trains,3.83,3.22
2018-19,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.37,1.39
2018-19,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.27,2.01
2018-19,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.62,1.17
2018-19,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.93,3.19
2018-19,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.45,1.21
2018-19,12,London Underground Network,Excess Journey Time - Total,4.69,4.46
2018-19,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.65,1.52
2018-19,13,Line Operations - Central Line,Excess Journey Time - Trains,3.06,2.76
2018-19,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.82,3.19
2018-19,13,Line Operations - District Line,Excess Journey Time - Trains,3.81,3.26
2018-19,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.69,1.41
2018-19,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.78,2
2018-19,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.65,1.21
2018-19,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.81,3.16
2018-19,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.18,1.2
2018-19,13,London Underground Network,Excess Journey Time - Total,4.8,4.49
2019-20,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.28,1.28
2019-20,1,Line Operations - Central Line,Excess Journey Time - Trains,2.68,2.68
2019-20,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.61,2.61
2019-20,1,Line Operations - District Line,Excess Journey Time - Trains,3.32,3.32
2019-20,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.19,1.19
2019-20,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,0.77,0.77
2019-20,1,Line Operations - Northern Line,Excess Journey Time - Trains,0.97,0.97
2019-20,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.77,2.77
2019-20,1,Line Operations - Victoria Line,Excess Journey Time - Trains,1.22,1.22
2019-20,1,London Underground Network,Excess Journey Time - Total,4.28,4.28
2019-20,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.6,1.44
2019-20,2,Line Operations - Central Line,Excess Journey Time - Trains,2.5,2.59
2019-20,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.39,3
2019-20,2,Line Operations - District Line,Excess Journey Time - Trains,3.54,3.43
2019-20,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.4,1.29
2019-20,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.13,1.45
2019-20,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.27,1.12
2019-20,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.27,2.52
2019-20,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.54,1.38
2019-20,2,London Underground Network,Excess Journey Time - Total,4.48,4.38
2019-20,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.96,1.61
2019-20,3,Line Operations - Central Line,Excess Journey Time - Trains,2.67,2.62
2019-20,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.4,3.47
2019-20,3,Line Operations - District Line,Excess Journey Time - Trains,3.63,3.49
2019-20,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.7,1.43
2019-20,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.18,1.69
2019-20,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.1,1.11
2019-20,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.76,2.6
2019-20,3,Line Operations - Victoria Line,Excess Journey Time - Trains,1.4,1.39
2019-20,3,London Underground Network,Excess Journey Time - Total,4.66,4.47
2019-20,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.58,1.85
2019-20,4,Line Operations - Central Line,Excess Journey Time - Trains,3.37,2.81
2019-20,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.53,3.48
2019-20,4,Line Operations - District Line,Excess Journey Time - Trains,4.03,3.63
2019-20,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.3,1.4
2019-20,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.16,1.81
2019-20,4,Line Operations - Northern Line,Excess Journey Time - Trains,3.03,1.59
2019-20,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.76,2.89
2019-20,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.43,1.4
2019-20,4,London Underground Network,Excess Journey Time - Total,5.57,4.75
2019-20,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.12,1.91
2019-20,5,Line Operations - Central Line,Excess Journey Time - Trains,2.8,2.8
2019-20,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.98,3.38
2019-20,5,Line Operations - District Line,Excess Journey Time - Trains,3.07,3.52
2019-20,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.88,1.49
2019-20,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.87,1.82
2019-20,5,Line Operations - Northern Line,Excess Journey Time - Trains,1.42,1.56
2019-20,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.1,2.94
2019-20,5,Line Operations - Victoria Line,Excess Journey Time - Trains,1.21,1.36
2019-20,5,London Underground Network,Excess Journey Time - Total,4.64,4.72
2019-20,6,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.14,1.95
2019-20,6,Line Operations - Central Line,Excess Journey Time - Trains,3.21,2.87
2019-20,6,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.12,3.34
2019-20,6,Line Operations - District Line,Excess Journey Time - Trains,2.93,3.42
2019-20,6,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.05,1.42
2019-20,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.65,1.96
2019-20,6,Line Operations - Northern Line,Excess Journey Time - Trains,1.68,1.58
2019-20,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.28,2.83
2019-20,6,Line Operations - Victoria Line,Excess Journey Time - Trains,1.19,1.33
2019-20,6,London Underground Network,Excess Journey Time - Total,4.37,4.66
2019-20,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.29,2
2019-20,7,Line Operations - Central Line,Excess Journey Time - Trains,3.43,2.95
2019-20,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.21,3.6
2019-20,7,Line Operations - District Line,Excess Journey Time - Trains,4.24,3.54
2019-20,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.8,1.47
2019-20,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,4.71,2.35
2019-20,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.97,1.63
2019-20,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3,2.85
2019-20,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.98,1.43
2019-20,7,London Underground Network,Excess Journey Time - Total,5.66,4.81
2019-20,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.8,2.1
2019-20,8,Line Operations - Central Line,Excess Journey Time - Trains,3.73,3.05
2019-20,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.24,3.68
2019-20,8,Line Operations - District Line,Excess Journey Time - Trains,3.59,3.54
2019-20,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,3.03,1.67
2019-20,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.51,2.5
2019-20,8,Line Operations - Northern Line,Excess Journey Time - Trains,2.36,1.72
2019-20,8,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.98,2.74
2019-20,8,Line Operations - Victoria Line,Excess Journey Time - Trains,1.58,1.45
2019-20,8,London Underground Network,Excess Journey Time - Total,5.56,4.9
2019-20,9,Line Operations - Bakerloo Line,Excess Journey Time - Trains,3.09,2.21
2019-20,9,Line Operations - Central Line,Excess Journey Time - Trains,4.32,3.19
2019-20,9,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.29,3.86
2019-20,9,Line Operations - District Line,Excess Journey Time - Trains,4.47,3.65
2019-20,9,Line Operations - Jubilee Line,Excess Journey Time - Trains,3.17,1.83
2019-20,9,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.83,2.64
2019-20,9,Line Operations - Northern Line,Excess Journey Time - Trains,2.3,1.79
2019-20,9,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.32,2.8
2019-20,9,Line Operations - Victoria Line,Excess Journey Time - Trains,2.33,1.54
2019-20,9,London Underground Network,Excess Journey Time - Total,6.48,5.08
2019-20,10,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.48,2.23
2019-20,10,Line Operations - Central Line,Excess Journey Time - Trains,2.43,3.11
2019-20,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.71,3.75
2019-20,10,Line Operations - District Line,Excess Journey Time - Trains,2.4,3.52
2019-20,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.22,1.77
2019-20,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.98,2.58
2019-20,10,Line Operations - Northern Line,Excess Journey Time - Trains,1.21,1.73
2019-20,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.51,2.68
2019-20,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.06,1.5
2019-20,10,London Underground Network,Excess Journey Time - Total,3.87,4.96
2019-20,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.56,2.26
2019-20,11,Line Operations - Central Line,Excess Journey Time - Trains,3.04,3.11
2019-20,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.73
2019-20,11,Line Operations - District Line,Excess Journey Time - Trains,3.05,3.48
2019-20,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.79,1.78
2019-20,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.08,2.62
2019-20,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.52,1.71
2019-20,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.63,2.67
2019-20,11,Line Operations - Victoria Line,Excess Journey Time - Trains,1.47,1.49
2019-20,11,London Underground Network,Excess Journey Time - Total,4.78,4.94
2019-20,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.99,2.24
2019-20,12,Line Operations - Central Line,Excess Journey Time - Trains,3.03,3.1
2019-20,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.72
2019-20,12,Line Operations - District Line,Excess Journey Time - Trains,3.46,3.48
2019-20,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.81,1.78
2019-20,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.1,2.66
2019-20,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.45,1.69
2019-20,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.15,2.71
2019-20,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.53,1.5
2019-20,12,London Underground Network,Excess Journey Time - Total,5.08,4.95
